Running verification cascade...
  Specs directory: /Users/seshendranalla/Development/katagami-worktrees/grok-jcs-study-setup/katagami-commons/specs

--- /Users/seshendranalla/Development/katagami-worktrees/grok-jcs-study-setup/katagami-commons/specs

  [lint:warn] Taxonomy: action_missing_to — action 'Define' has no `to` target; transition may be dead/no-op

  [lint:warn] Taxonomy: action_missing_to — action 'UpdateCharacteristics' has no `to` target; transition may be dead/no-op

  [lint:warn] Taxonomy: action_missing_to — action 'UpdateRelations' has no `to` target; transition may be dead/no-op

  [lint:warn] Taxonomy: action_missing_to — action 'IncrementLanguageCount' has no `to` target; transition may be dead/no-op

  [lint:warn] OauthClient: action_missing_to — action 'UpdateMetadata' has no `to` target; transition may be dead/no-op

  [lint:warn] WritingStyle: action_missing_to — action 'SetName' has no `to` target; transition may be dead/no-op

  [lint:warn] WritingStyle: action_missing_to — action 'SetVoiceLayer' has no `to` target; transition may be dead/no-op

  [lint:warn] WritingStyle: action_missing_to — action 'SetMechanicalBands' has no `to` target; transition may be dead/no-op

  [lint:warn] WritingStyle: action_missing_to — action 'AttachCorpus' has no `to` target; transition may be dead/no-op

  [lint:warn] WritingStyle: action_missing_to — action 'SetExemplars' has no `to` target; transition may be dead/no-op

  [lint:warn] WritingStyle: action_missing_to — action 'AttachReplication' has no `to` target; transition may be dead/no-op

  [lint:warn] WritingStyle: action_missing_to — action 'AttachVoiceMd' has no `to` target; transition may be dead/no-op

  [lint:warn] WritingStyle: action_missing_to — action 'AttachThumbnail' has no `to` target; transition may be dead/no-op

  [lint:warn] WritingStyle: action_missing_to — action 'SubmitWritingStyle' has no `to` target; transition may be dead/no-op

  [lint:warn] WritingStyle: action_missing_to — action 'AttestConsent' has no `to` target; transition may be dead/no-op

  [lint:warn] WritingStyle: action_missing_to — action 'MarkBandsSelfConsistent' has no `to` target; transition may be dead/no-op

  [lint:warn] WritingStyle: action_missing_to — action 'MarkReplicationVerified' has no `to` target; transition may be dead/no-op

  [lint:warn] WritingStyle: action_missing_to — action 'RecordVerification' has no `to` target; transition may be dead/no-op

  [lint:warn] WritingStyle: action_missing_to — action 'AttachPublishedAssets' has no `to` target; transition may be dead/no-op

  [lint:warn] WritingStyle: action_missing_to — action 'AttachTasteVector' has no `to` target; transition may be dead/no-op

  [lint:warn] WritingStyle: action_missing_to — action 'SetTaxonomy' has no `to` target; transition may be dead/no-op

  [lint:warn] WritingStyle: action_missing_to — action 'SetTags' has no `to` target; transition may be dead/no-op

  [lint:warn] WritingStyle: action_missing_to — action 'SetCredits' has no `to` target; transition may be dead/no-op

